wk	weight	cum_weight
2017-06-19	2.444218399	266.214901
2017-06-26	2.429582361	268.6444833
2017-07-03	2.458854437	271.1033377
2017-07-10	2.488126514	273.5914643
2017-07-17	2.517398591	276.1088629
2017-07-24	2.546670667	278.6555335
2017-07-31	2.561306706	281.2168402
2017-08-07	2.575942744	283.792783
2017-08-14	2.488126514	286.2809095
2017-08-21	2.488126514	288.769036
2017-08-28	2.590578782	291.3596148
2017-09-04	2.649122935	294.0087377
2017-09-11	2.678395012	296.6871327
2017-09-18	2.795483319	299.482616
2017-09-25	2.795483319	302.2780994
2017-10-02	2.78084728	305.0589466
2017-10-09	2.707667089	307.7666137
2017-10-16	2.649122935	310.4157367
2017-10-23	2.473490476	312.8892271
2017-10-30	2.327130092	315.2163572
2017-11-06	2.019773288	317.2361305
2017-11-13	1.946593096	319.1827236
2017-11-20	1.756324598	320.9390482
2017-11-27	1.624600253	322.5636485
2017-12-04	1.522147985	324.0857965
2017-12-11	1.331879487	325.4176759
2017-12-18	0.995250606	326.4129265
2017-12-25	0.878162299	327.2910888
2018-01-01	0.848890222	328.1399791
2018-01-08	0.834254184	328.9742333
2018-01-15	0.980614567	329.9548478
2018-01-22	1.112338912	331.0671867
2018-01-29	1.200155142	332.2673419
2018-02-05	1.244063257	333.5114051
2018-02-12	1.287971372	334.7993765
2018-02-19	1.30260741	336.1019839
2018-02-26	1.375787602	337.4777715
2018-03-05	1.346515525	338.824287
2018-03-12	1.419695717	340.2439828
2018-03-19	1.39042364	341.6344064
2018-03-26	1.551420062	343.1858265
2018-04-02	1.668508368	344.8543348
2018-04-09	1.858776866	346.7131117
2018-04-16	2.078317441	348.7914291
2018-04-23	2.327130092	351.1185592
2018-04-30	2.341766131	353.4603254
2018-05-07	2.458854437	355.9191798
2018-05-14	2.546670667	358.4658505
2018-05-21	2.546670667	361.0125211
2018-05-28	2.619850859	363.632372
2018-06-04	2.766211242	366.3985832
2018-06-11	2.795483319	369.1940666
2018-06-18	2.751575204	371.9456418
2018-06-25	2.795483319	374.7411251
2018-07-02	2.751575204	377.4927003
2018-07-09	2.69303105	380.1857313
2018-07-16	2.707667089	382.8933984
2018-07-23	2.766211242	385.6596097
2018-07-30	2.69303105	388.3526407
2018-08-06	2.751575204	391.1042159
2018-08-13	2.795483319	393.8996992
2018-08-20	2.766211242	396.6659105
2018-08-27	2.766211242	399.4321217
2018-09-03	2.824755395	402.2568771
2018-09-10	2.751575204	405.0084523
2018-09-17	2.795483319	407.8039356
2018-09-24	2.810119357	410.614055
2018-10-01	2.78084728	413.3949023
2018-10-08	2.649122935	416.0440252
2018-10-15	2.634486897	418.6785121
2018-10-22	2.414946322	421.0934584
2018-10-29	2.195405748	423.2888642
2018-11-05	1.961229134	425.2500933
2018-11-12	1.844140828	427.0942341
2018-11-19	1.683144406	428.7773785
2018-11-26	1.624600253	430.4019788
2018-12-03	1.595328177	431.997307
2018-12-10	1.492875908	433.4901829
